00.0833,0
00.0855,1
00.0960,2
01.0025,3
01.0044,4
01.0089,5
01.0213,6
01.0276,7
01.0293,8
01.0406,9
01.0473,10
01.0492,11
01.0540,12
01.0663,13
01.0728,14
01.0748,15
01.0858,16
01.0927,17
01.0946,18
01.0993,19
02.0125,20
02.0185,21
02.0204,22
02.0313,23
02.0380,24
02.0402,25
02.0451,26
02.0578,27
02.0642,28
02.0660,29
02.0773,30
02.0837,31
02.0856,32
02.0907,33
03.0035,34
03.0099,35
03.0118,36
03.0229,37
03.0294,38
03.0313,39
03.0358,40
03.0489,41
03.0551,42
03.0570,43
03.0678,44
03.0742,45
03.0762,46
03.0810,47
03.0938,48
04.0003,49
04.0020,50
04.0132,51
04.0196,52
04.0214,53
04.0261,54
04.0387,55
04.0453,56
04.0471,57
04.0579,58
04.0642,59
04.0660,60
04.0707,61
04.0835,62
04.0901,63
04.0919,64
05.0025,65
05.0089,66
05.0108,67
05.0157,68
05.0287,69
05.0348,70
05.0368,71
05.0478,72
05.0545,73
05.0563,74
05.0610,75
05.0735,76
05.0801,77
05.0819,78
05.0928,79
05.0995,80
06.0012,81
06.0059,82
06.0186,83
06.0250,84
06.0266,85
06.0377,86
06.0444,87
06.0464,88
06.0511,89
06.0640,90
06.0702,91
06.0719,92
06.0829,93
06.0895,94
06.0914,95
06.0961,96
07.0085,97
07.0149,98
07.0166,99
07.0276,100
07.0341,101
07.0360,102
07.0409,103
07.0533,104
07.0597,105
07.0615,106
07.0724,107
07.0789,108
07.0806,109
07.0857,110
07.0981,111
08.0045,112
08.0062,113
08.0174,114
08.0236,115
08.0253,116
08.0303,117
08.0428,118
08.0493,119
08.0511,120
08.0622,121
08.0686,122
08.0703,123
08.0751,124
08.0879,125
08.0945,126
08.0963,127
09.0074,128
09.0136,129
09.0154,130
09.0201,131
09.0327,132
09.0393,133
09.0411,134
09.0523,135
09.0586,136
09.0603,137
09.0651,138
09.0779,139
09.0843,140
09.0861,141
09.0974,142
10.0040,143
10.0057,144
10.0106,145
10.0230,146
10.0293,147
10.0310,148
10.0422,149
10.0485,150
10.0504,151
10.0551,152
10.0676,153
10.0740,154
10.0758,155
10.0868,156
10.0933,157
10.0951,158
10.0998,159
11.0127,160
11.0191,161
11.0209,162
11.0321,163
11.0387,164
11.0406,165
11.0453,166
11.0578,167
11.0641,168
11.0659,169
11.0769,170
11.0834,171
11.0853,172
11.0899,173
12.0026,174
12.0088,175
12.0106,176
12.0215,177
12.0280,178
12.0298,179
12.0347,180
12.0477,181
12.0543,182





















































































































